"pl_name","hostname","discoverymethod","default_flag","pl_bmasse","pl_rade","pl_eqt","pl_orbeccen","st_met","st_teff","st_rad","st_mass","pl_insol","density_gcc","v_esc_kms","can_hold_water","WRI_temp_only"
"LP 791-18 d","LP 791-18","Transit",1,0.9,1.032,395.5,0.0015,-0.09,2960,0.182,0.139,5.83,4.51512917101639,10.4592231469268,0,0.0689883575777647
"LP 890-9 b","LP 890-9","Transit",1,13.2,1.32,396,NA,-0.028,2850,0.1556,0.118,4.09,31.6460055096419,35.4175097938858,0,0.0691157363768374
"LP 890-9 c","LP 890-9","Transit",1,25.3,1.367,272,NA,-0.028,2850,0.1556,0.118,0.906,54.6112024678566,48.1830209860143,1,0.0375257942068122
"LTT 1445 A c","LTT 1445 A","Transit",1,1.54,1.147,508,0.223,-0.34,3340,0.265,0.257,10.9,5.62726320420923,12.9776684324442,0,0.0976485873691183
"LTT 3780 b","LTT 3780","Transit",1,2.46,1.325,903,0,0.06,3358,0.38,0.381,111,5.83115027841775,15.2608118184614,0,0.198277838636537
"LTT 3780 c","LTT 3780","Transit",1,8.04,2.39,359,0.024,0.06,3358,0.38,0.381,2.76,3.2473500611892,20.5422067805342,0,0.0596897052454589
"LTT 9779 b","LTT 9779","Transit",1,29.32,4.72,1978,0,0.27,5443,0.949,1.02,NA,1.53746320826375,27.914445564733,0,0.472142256642804
"MASCARA-4 b","MASCARA-4","Transit",1,532.36258173,16.98160576,2250,NA,NA,7800,1.79,1.75,NA,0.599429374967692,62.7093655396258,0,0.541436323338344
"NGTS-1 b","NGTS-1","Transit",1,258.07796,14.90797,790,0.016,0,3916,0.573,0.617,65.3,0.429498991604548,46.5998186072016,0,0.169490230046111
"NGTS-10 b","NGTS-10","Transit",1,687.14846,13.506845,1332,0,-0.02,4600,0.697,0.696,NA,1.53764326756628,79.8852048860696,0,0.307568848240899
"NGTS-11 b","NGTS-11","Transit",1,109.33352,9.157753,435,0.13,0.22,5050,0.832,0.862,NA,0.784970462640489,38.699042973323,0,0.0790512827045066
"NGTS-12 b","NGTS-12","Transit",1,66.10864,11.747032,1257,0,-0.03,5690,1.589,1.021,416,0.224874664904835,26.5694802092717,0,0.288462028379996
"NGTS-13 b","NGTS-13","Transit",1,1538.2972,12.800678,1605,0.086,0.25,5819,1.788,1.3,1096,4.04397155457969,122.778312750389,0,0.377117672534583
"NGTS-14 A b","NGTS-14 A","Transit",1,29.24036,4.976796,1143,0,0.1,5187,0.842,0.898,NA,1.30797655405737,27.1477887233761,0,0.259419662191425
"NGTS-15 b","NGTS-15","Transit",1,238.68913366,12.32987877,1146,0,0.15,5600,0.954,0.995,425,0.702138828492796,49.2782122143837,0,0.260183934985861
"NGTS-16 b","NGTS-16","Transit",1,211.99154747,14.57167491,1177,0,0.35,5550,1.213,1.002,480,0.377795591457153,42.7191456315388,0,0.268081420528367
"NGTS-17 b","NGTS-17","Transit",1,242.82090295,13.89913607,1457,0,0.15,5650,1.337,1.025,1160,0.498642638255008,46.813073358017,0,0.339413548009069
"NGTS-18 b","NGTS-18","Transit",1,129.99181846,13.56286665,1381,0,0.15,5610,1.392,1.003,845,0.287295157323673,34.6737079072823,0,0.320051970550022
"NGTS-2 b","NGTS-2","Transit",1,235.1942,17.878355,1468,0,-0.06,6478,1.702,1.64,NA,0.226939816689304,40.6225842632012,0,0.342215881588668
"NGTS-20 b","NGTS-20","Transit",1,947.12865286,11.99360935,688,0.432,0.15,5980,1.78,1.47,NA,3.02709492306779,99.528523351721,0,0.143504955035284
"NGTS-21 b","NGTS-21","Transit",1,750.07504052,14.90794433,1357,0,-0.26,4660,0.86,0.72,NA,1.24829775350957,79.4440724095676,0,0.313937788194533
"NGTS-23 b","NGTS-23","Transit",1,194.82881349,14.20177855,1327,0,-0.26,6057,1.24,1.01,NA,0.375052218179479,41.4832952311249,0,0.306295060250172
"NGTS-24 b","NGTS-24","Transit",1,165.27077164,13.60770257,1499,0,0.27,5820,1.64,1.26,NA,0.361666590647465,39.032255325228,0,0.350113367131175
"NGTS-25 b","NGTS-25","Transit",1,203.09235207,11.46678726,1101,0,0.12,5321,0.86,0.91,NA,0.742737010594727,47.1350453977324,0,0.24871984306932
"NGTS-26 b","NGTS-26","Transit",1,92.80589484,14.88552637,1331,0,0.2,5550,1.16,0.96,523,0.155149269490834,27.9655719393807,0,0.307314090642753
"NGTS-27 b","NGTS-27","Transit",1,188.47224535,15.64773706,1783,0,0,5700,1.77,1.07,1680,0.271243629517928,38.8701265934336,0,0.422464525004458
"NGTS-30 b","NGTS-30","Transit",1,305.11527072,10.40193409,500,0.294,-0.03,5455,0.913,0.94,NA,1.4948183245944,60.6586786887319,0,0.0956105265839554
"NGTS-33 b","NGTS-33","Transit",1,1153.71711741,18.38272835,1991,0,-0.11,7437,1.47,1.6,2620,1.02408543518789,88.7284114165724,0,0.475454105418694
"NGTS-4 b","NGTS-4","Transit",1,20.6,3.18,1650,0,-0.28,5143,0.84,0.75,NA,3.5322596655106,28.506117626544,0,0.388581764451125
"NGTS-5 b","NGTS-5","Transit",1,72.78307,12.733424,952,0,0.12,4987,0.739,0.661,NA,0.194384454600579,26.7769191643457,0,0.21076096094566
