"pl_name","WRI_weighted","WRI_temp_only","WRI_difference"
"HD 137496 b",0.364277308541949,0.5108654115609,-0.146588103018951
"HD 1397 b",0.218144534493797,0.281150485313224,-0.063005950819427
"HD 183579 b",0.115685869312251,0.159809441316587,-0.044123572004336
"HD 191939 b",0.129200331260476,0.192418413879194,-0.063218082618718
"HD 191939 c",0.0750988531619368,0.121086286398492,-0.0459874332365552
"HD 191939 d",0.0549182895571982,0.10580083050977,-0.0508825409525718
"HD 202772 A b",0.400121440433442,0.511374926757191,-0.111253486323749
"HD 203030 b",0.359223690655964,0.233179629582452,0.126044061073512
"HD 20329 b",0.370663765705714,0.513667745140499,-0.143003979434785
"HD 206893 b",0.572695355888486,0.332331286780628,0.240364069107858
"HD 206893 c",0.387729529036973,0.26932973275928,0.118399796277693
"HD 207496 b",0.102941414389135,0.157516622933279,-0.054575208544144
"HD 207897 b",0.0858842882142934,0.116436960232339,-0.0305526720180456
"HD 213885 b",0.370898752945095,0.510355896364609,-0.139457143419514
"HD 21520 b",0.0966755866888901,0.13051231752987,-0.0338367308409799
"HD 21749 c",0.1047258429219,0.146816803811174,-0.042090960889274
"HD 219134 b",0.155257727048575,0.226810689628818,-0.071552962580243
"HD 219134 c",0.111588408601887,0.167452169260948,-0.055863760659061
"HD 219134 d",0.0657242159281399,0.0728097215499452,-0.00708550562180529
"HD 219134 f",0.0744432065921729,0.101368048302041,-0.0269248417098681
"HD 219666 b",0.168306563255107,0.242350903115685,-0.074044339860578
"HD 22946 d",0.0893026551804691,0.107329376098642,-0.0180267209181729
"HD 23472 b",0.0717363724199135,0.106565103304206,-0.0348287308842925
"HD 23472 c",0.0471865294387385,0.0872035258451583,-0.0400169964064198
"HD 23472 d",0.12316912368858,0.19980638422541,-0.07663726053683
"HD 23472 e",0.0896690712401889,0.152421470970372,-0.0627523997301831
"HD 23472 f",0.0699872287626283,0.128729014342853,-0.0587417855802247
"HD 25463 b",0.190793593453014,0.273548518584567,-0.082754925131553
"HD 25463 c",0.262937281926846,0.372167732402619,-0.109230450475773
"HD 260655 b",0.0923048165836678,0.148854864596337,-0.0565500480126692
"HD 260655 c",0.0652584789260464,0.110131709678241,-0.0448732307521946
"HD 2685 b",0.39381334003646,0.49328713728887,-0.09947379725241
"HD 28109 b",0.147811171801651,0.192724122996968,-0.044912951195317
"HD 28109 c",0.0691627210342278,0.11731587394594,-0.0481531529117122
"HD 28109 d",0.053842034913538,0.0972664509719002,-0.0434244160583622
"HD 3167 b",0.296812096234792,0.42017170662115,-0.123359610386358
"HD 3167 c",0.0734814245113417,0.111915012865259,-0.0384335883539173
"HD 332231 b",0.130338348053274,0.171604718110718,-0.041266370057444
"HD 35843 c",0.0605320598715411,0.0902606170229027,-0.0297285571513616
"HD 42813 b",0.0974577697629003,0.150638167783354,-0.0531803980204537
"HD 5278 b",0.142222585587836,0.208468142562352,-0.066245556974516
"HD 6061 b",0.170577919093238,0.242175120372965,-0.071597201279727
"HD 63433 b",0.168491481425562,0.19405905281125,-0.025567571385688
"HD 63433 c",0.0942927527098083,0.126769928413115,-0.0324771757033067
"HD 63935 b",0.121799025794098,0.178462792652791,-0.056663766858693
"HD 63935 c",0.0834956714817263,0.12607698774616,-0.0425813162644337
"HD 73344 b",0.137932528449046,0.2003158994217,-0.062383370972654
"HD 73583 b",0.101302805164461,0.150128652587063,-0.048825847422602
"HD 73583 c",0.0627018063146787,0.0951010113876646,-0.0323992050729859
"HD 77946 b",0.179058709957973,0.255817389753649,-0.076758679795676
"HD 80653 b",0.427842294221584,0.595699691743306,-0.167857397521722
"HD 86226 c",0.211705660597413,0.302218938679846,-0.090513278082433
"HD 88986 b",0.0648029511148192,0.0854202226581408,-0.0206172715433216
"HD 89345 b",0.174687518870338,0.245662751891575,-0.070975233021237
"HD 93963 A b",0.304410578499009,0.437553817542608,-0.133143239043599
"HD 93963 A c",0.201825160809447,0.27711257738262,-0.075287416573173
"HD 95338 b",0.0602042353232101,0.0663134027972384,-0.00610916747402829
"HD 97658 b",0.109506312806614,0.159554683718442,-0.050048370911828
"HIP 116454 b",0.109772610465123,0.160115150434362,-0.050342539969239
"HIP 29442 c",0.175203608059554,0.254324510228518,-0.079120902168964
"HIP 29442 d",0.139318409818185,0.202608717805009,-0.063290307986824
"HIP 65 A b",0.299957443222253,0.327694698494383,-0.02773725527213
"HIP 65426 b",0.408425036237,0.35036812472932,0.05805691150768
"HIP 8152 b",0.115907922088343,0.170753827732912,-0.054845905644569
"HIP 8152 c",0.0917751178984416,0.133997401472499,-0.0422222835740574
"HIP 94235 b",0.311847680686259,0.23827478154536,0.073572899140899
"HIP 9618 b",0.0810552867643912,0.131500777010674,-0.0504454902462828
"HIP 9618 c",0.048637953126735,0.0880467734950195,-0.0394088203682845
"HIP 97166 b",0.112107511426854,0.14698494382595,-0.034877432399096
"HR 858 b",0.249193375844535,0.363615519832879,-0.114422143988344
"HR 858 c",0.204704097027893,0.301709423483555,-0.097005326455662
"HR 858 d",0.165966112740064,0.238529539143505,-0.072563426403441
"HR 8799 e",0.380216181071309,0.261202965378442,0.119013215692867
"K2-100 b",0.318013738114757,0.437240465696889,-0.119226727582132
"K2-110 b",0.0956454401937796,0.130767075128016,-0.0351216349342364
"K2-111 b",0.210340150539572,0.301709423483555,-0.091369272943983
"K2-114 b",0.183374213142579,0.146918706850432,0.036455506292147
"K2-115 b",0.145312617200108,0.145543015820447,-0.000230398620339023
"K2-12 b",0.152879376698413,0.229613023208417,-0.076733646510004
"K2-131 b",0.38733536366004,0.534557868188419,-0.147222504528379
