"pl_name","hostname","discoverymethod","default_flag","pl_eqt","pl_insol","pl_eqt_est","pl_orbeccen","st_met","st_teff","st_rad","st_mass","T_used","can_hold_water_temp","WRI_temp_prob"
"K2-136 b","K2-136","Transit",1,610,33.5,610,0.14,-0.02,4500,0.677,0.742,610,0,0.0117026539753655
"K2-136 c","K2-136","Transit",1,470,11.91,470,0.047,-0.02,4500,0.677,0.742,470,0,0.0782625740969464
"K2-136 d","K2-136","Transit",1,420,7.07,420,0.071,-0.02,4500,0.677,0.742,420,0,0.146461550784856
"K2-139 b","K2-139","Transit",1,524,NA,524,NA,0.24,5370,0.88,0.96,524,0,0.0381974953464689
"K2-14 b","K2-14","Transit",1,488,NA,488,NA,-0.37,3789,0.45,0.47,488,0,0.061833992851214
"K2-140 b","K2-140","Transit",1,962,204,962,0,0.1,5585,1.06,0.96,962,0,8.36108903253857e-05
"K2-141 b","K2-141","Transit",1,2103,3260,2103,0,0,4570,0.681,0.708,2103,0,8.90359229704933e-12
"K2-141 c","K2-141","Transit",1,695,39.1,695,0.092,0,4570,0.681,0.708,695,0,0.0035678230163534
"K2-147 b","K2-147","Transit",1,1077,NA,1077,0.38,-0.02,3690,0.578,0.563,1077,0,1.65774835910547e-05
"K2-148 b","K2-148","Transit",1,NA,48.8,736.088707221322,NA,-0.11,4079,0.632,0.65,736.088707221322,0,0.00200441712030755
"K2-148 c","K2-148","Transit",1,NA,26.5,631.882995064264,NA,-0.11,4079,0.632,0.65,631.882995064264,0,0.00862789511173149
"K2-148 d","K2-148","Transit",1,NA,16.8,563.835634576975,NA,-0.11,4079,0.632,0.65,563.835634576975,0,0.0221704088286267
"K2-149 b","K2-149","Transit",1,NA,7,453.001572432833,NA,0.11,3745,0.568,0.595,453.001572432833,0,0.0973518134733755
"K2-15 b","K2-15","Transit",1,676,NA,676,NA,-0.46,5131,0.68,0.72,676,0,0.00465627927718308
"K2-150 b","K2-150","Transit",1,NA,4.9,414.356560601104,NA,0.09,3499,0.436,0.457,414.356560601104,0,0.156669912813851
"K2-151 b","K2-151","Transit",1,566,NA,566,NA,-0.19,3695,0.45,0.47,566,0,0.0215196905564044
"K2-152 b","K2-152","Transit",1,337,NA,337,NA,0.12,4044,0.61,0.63,337,1,0.355554280955488
"K2-153 b","K2-153","Transit",1,497,NA,497,NA,-0.09,3845,0.53,0.55,497,0,0.0548824836650492
"K2-154 b","K2-154","Transit",1,715,NA,715,NA,0.21,4097,0.63,0.65,715,0,0.00269502062869516
"K2-154 c","K2-154","Transit",1,552,NA,552,NA,0.21,4097,0.63,0.65,552,0,0.0260831961799552
"K2-155 b","K2-155","Transit",1,708,NA,708,NA,-0.3,4258,0.58,0.65,708,0,0.00297316125140807
"K2-155 c","K2-155","Transit",1,583,NA,583,NA,-0.3,4258,0.58,0.65,583,0,0.0170192612362354
"K2-155 d","K2-155","Transit",1,381,NA,381,NA,-0.3,4258,0.58,0.65,381,0,0.22902084324532
"K2-157 b","K2-157","Transit",1,2432,6660,2432,NA,0.02,5334,0.86,0.89,2432,0,8.69005174547836e-14
"K2-157 c","K2-157","Radial Velocity",1,587,22.65,587,0.2,0.02,5334,0.86,0.89,587,0,0.0161027902076687
"K2-157 d","K2-157","Radial Velocity",1,429.1,6.46,429.1,0.5,0.02,5334,0.86,0.89,429.1,0,0.131167393595923
"K2-158 b","K2-158","Transit",1,794,NA,794,NA,0.07,5503,0.95,0.92,794,0,0.000888328098528982
"K2-158 c","K2-158","Transit",1,948,NA,948,NA,0.07,5503,0.95,0.92,948,0,0.000101814576385093
"K2-159 b","K2-159","Transit",1,684,NA,684,NA,-0.07,5425,0.83,0.9,684,0,0.00416261060879719
"K2-16 b","K2-16","Transit",1,658,44.5,658,NA,-0.33,4742,0.66,0.68,658,0,0.00599040004950781
"K2-16 c","K2-16","Transit",1,485,13.1,485,NA,-0.33,4742,0.66,0.68,485,0,0.0643286099052908
"K2-162 b","K2-162","Transit",1,631,NA,631,NA,-0.17,4842,0.69,0.75,631,0,0.00873482200177719
"K2-166 b","K2-166","Transit",1,1140,NA,1140,NA,0.09,5960,1.61,1.16,1140,0,6.83164455426685e-06
"K2-167 b","K2-167","Transit",1,1220,NA,1220,0.48,-0.456,6310,1.499,1.084,1220,0,2.21636587329073e-06
"K2-168 b","K2-168","Transit",1,766.35,NA,766.35,NA,NA,5502.7,0.83,0.877,766.35,0,0.00131027094015354
"K2-17 b","K2-17","Transit",1,487,NA,487,NA,0.15,4320,0.66,0.71,487,0,0.062655325076328
"K2-174 b","K2-174","Transit",1,455,NA,455,NA,0.113,4455,0.676,0.7,455,0,0.0949085737228654
"K2-18 b","K2-18","Transit",1,284,NA,284,0.2,0.12,3457,0.411,0.359,284,1,0.537694434497747
"K2-18 c","K2-18","Radial Velocity",1,363,NA,363,0.47,NA,3457,0.411,0.359,363,0,0.276764975639515
"K2-180 b","K2-180","Transit",1,797.5,NA,797.5,0.075,-0.578,5365,0.719,0.735,797.5,0,0.00084567440293219
"K2-181 b","K2-181","Transit",1,1015,NA,1015,0.4,0.385,5520,1.04,1.022,1015,0,3.96638698688619e-05
"K2-182 b","K2-182","Transit",1,965.8,NA,965.8,0.071,0.022,5128,0.789,0.823,965.8,0,7.92579185023227e-05
"K2-184 b","K2-184","Transit",1,533,NA,533,NA,-0.1,5245,0.75,0.84,533,0,0.0338074950637519
"K2-185 b","K2-185","Transit",1,809,NA,809,NA,-0.1,5788,0.94,0.96,809,0,0.000719417049182235
"K2-185 c","K2-185","Transit",1,477,NA,477,NA,-0.1,5788,0.94,0.96,477,0,0.0714457927927489
"K2-188 b","K2-188","Transit",1,1692,NA,1692,NA,-0.01,5977,1.19,1.06,1692,0,2.89211876885329e-09
"K2-188 c","K2-188","Transit",1,1026,NA,1026,NA,-0.01,5977,1.19,1.06,1026,0,3.39762744096362e-05
"K2-189 b","K2-189","Transit",1,1197,NA,1197,NA,0,5519,0.87,0.94,1197,0,3.06334392038847e-06
"K2-189 c","K2-189","Transit",1,872,NA,872,NA,0,5519,0.87,0.94,872,0,0.000296597079535946
"K2-192 b","K2-192","Transit",1,939,NA,939,NA,0.15,5222,0.81,0.9,939,0,0.000115558964818275
"K2-193 b","K2-193","Transit",1,739,NA,739,NA,0,5817,0.98,1.01,739,0,0.00192411897958828
"K2-195 b","K2-195","Transit",1,720,NA,720,NA,-0.1,5713,0.99,0.94,720,0,0.0025123853659214
"K2-197 b","K2-197","Transit",1,848,NA,848,NA,0.08,5667,0.93,1,848,0,0.000415700808849035
"K2-198 b","K2-198","Transit",1,715.8,NA,715.8,NA,NA,5212.9,0.757,0.799,715.8,0,0.00266493326265141
"K2-198 c","K2-198","Transit",1,1229.9,NA,1229.9,NA,NA,5212.9,0.757,0.799,1229.9,0,1.92815507743954e-06
"K2-198 d","K2-198","Transit",1,943.2,NA,943.2,NA,NA,5212.9,0.757,0.799,943.2,0,0.000108928122386313
"K2-199 b","K2-199","Transit",1,913,116.2,913,0.02,-0.01,4491,0.682,0.711,913,0,0.000166597838606174
"K2-199 c","K2-199","Transit",1,694,38.6,694,0.03,-0.01,4491,0.682,0.711,694,0,0.0036181987453947
"K2-203 b","K2-203","Transit",1,738.4,NA,738.4,0.23,-0.021,5026,0.765,0.793,738.4,0,0.00194040096634175
"K2-204 b","K2-204","Transit",1,1148,NA,1148,0.28,0.21,5783,1.253,1.076,1148,0,6.10431585082407e-06
"K2-208 b","K2-208","Transit",1,1122,NA,1122,0.37,-0.064,5500,0.872,0.881,1122,0,8.80083167527518e-06
"K2-21 b","K2-21","Transit",1,NA,10,495.25081569584,0.1,NA,4222.06,0.646783,0.676023,495.25081569584,0,0.0561732582359472
"K2-21 c","K2-21","Transit",1,NA,5.1,418.521471429788,0.21,NA,4222.06,0.646783,0.676023,418.521471429788,0,0.149081542747998
"K2-211 b","K2-211","Transit",1,1873,NA,1873,0.19,0.134,5117,0.818,0.851,1873,0,2.26522828053636e-10
"K2-214 b","K2-214","Transit",1,1006,NA,1006,NA,0.05,5854,1.27,1.05,1006,0,4.50186443372666e-05
"K2-216 b","K2-216","Transit",1,1103,248,1103,0,0,4503,0.72,0.7,1103,0,1.14982811517086e-05
"K2-220 b","K2-220","Transit",1,758,NA,758,NA,0.04,5660,1.02,0.96,758,0,0.00147338968626015
"K2-222 b","K2-222","Transit",1,871,96,871,0.16,-0.315,5942,1.115,0.989,871,0,0.000300798812717299
"K2-224 b","K2-224","Transit",1,1002,NA,1002,NA,-0.19,5620,0.84,0.91,1002,0,4.76250639007825e-05
"K2-224 c","K2-224","Transit",1,764,NA,764,NA,-0.19,5620,0.84,0.91,764,0,0.0013542629553234
"K2-225 b","K2-225","Transit",1,923,NA,923,0.23,0.486,5520,1.7,1.482,923,0,0.00014473318967988
"K2-226 b","K2-226","Transit",1,1187,NA,1187,0.22,-0.05,5288,0.889,0.856,1187,0,3.52619465762198e-06
"K2-228 b","K2-228","Transit",1,914,NA,914,NA,-0.25,4715,0.65,0.71,914,0,0.00016427039483668
"K2-229 c","K2-229","Transit",1,750,NA,750,NA,-0.09,5315,0.79,0.87,750,0,0.00164865570824219
"K2-230 b","K2-230","Transit",1,1529,NA,1529,NA,0.1,5945,1.39,1.11,1529,0,2.86629545490087e-08
"K2-232 b","K2-232","Transit",1,1030,NA,1030,0.258,0.1,6154,1.161,1.188,1030,0,3.2116800392052e-05
"K2-233 b","K2-233","Transit",1,1127,269,1127,0,-0.082,4796,0.71,0.79,1127,0,8.202922551822e-06
"K2-233 c","K2-233","Transit",1,794,66.2,794,0,-0.082,4796,0.71,0.79,794,0,0.000888328098528982
"K2-233 d","K2-233","Transit",1,525,12.7,525,0.18,-0.082,4796,0.71,0.79,525,0,0.0376838849247199
"K2-237 b","K2-237","Transit",1,1759,NA,1759,0.03,0.337,6180,1.236,1.256,1759,0,1.12661169957065e-09
"K2-238 b","K2-238","Transit",1,1587,NA,1587,0,0.34,5630,1.59,1.19,1587,0,1.26729799604764e-08
"K2-239 b","K2-239","Transit",1,502,NA,502,NA,-0.1,3420,0.36,0.4,502,0,0.0513453054212177
"K2-239 c","K2-239","Transit",1,427,NA,427,NA,-0.1,3420,0.36,0.4,427,0,0.13457180304446
"K2-239 d","K2-239","Transit",1,399,NA,399,NA,-0.1,3420,0.36,0.4,399,0,0.1873790662342
"K2-240 b","K2-240","Transit",1,586,NA,586,NA,-0.1,3810,0.54,0.58,586,0,0.0163272528283017
"K2-240 c","K2-240","Transit",1,389,NA,389,NA,-0.1,3810,0.54,0.58,389,0,0.209752414431761
"K2-241 b","K2-241","Transit",1,507,NA,507,NA,-0.44,5262,0.75,0.71,507,0,0.0480245144883607
"K2-242 b","K2-242","Transit",1,416,NA,416,NA,-0.01,3459,0.37,0.38,416,0,0.153638700779222
"K2-243 b","K2-243","Transit",1,1035,NA,1035,NA,-0.03,6570,1.39,1.29,1035,0,2.99349031171162e-05
"K2-243 c","K2-243","Transit",1,801,NA,801,NA,-0.03,6570,1.39,1.29,801,0,0.000805067104111343
"K2-244 b","K2-244","Transit",1,638,NA,638,NA,-0.29,5677,0.92,0.86,638,0,0.00792195804330409
"K2-245 b","K2-245","Transit",1,923,NA,923,NA,-0.45,5793,1.25,0.83,923,0,0.00014473318967988
"K2-246 b","K2-246","Transit",1,977,NA,977,NA,-0.19,5610,0.94,0.87,977,0,6.77023381699284e-05
"K2-247 b","K2-247","Transit",1,979,NA,979,NA,-0.08,4667,0.69,0.74,979,0,6.58237072317672e-05
"K2-247 c","K2-247","Transit",1,688,NA,688,NA,-0.08,4667,0.69,0.74,688,0,0.00393568606305426
"K2-248 b","K2-248","Transit",1,886,NA,886,NA,-0.1,5528,0.92,0.88,886,0,0.000243576219820991
"K2-249 b","K2-249","Transit",1,1061,NA,1061,NA,0.04,6504,1.57,1.32,1061,0,2.07631839356995e-05
"K2-25 b","K2-25","Transit",1,494,9.91,494,0.428,0.15,3207,0.2932,0.2634,494,0,0.0571137238172838
"K2-250 b","K2-250","Transit",1,1003,NA,1003,0.21,-0.02,5003,0.797,0.809,1003,0,4.69596431211271e-05
"K2-251 b","K2-251","Transit",1,437,NA,437,NA,-0.04,3717,0.49,0.52,437,0,0.119009958315428
"K2-252 b","K2-252","Transit",1,639,NA,639,NA,-0.09,5152,0.82,0.79,639,0,0.00781213141957493
"K2-253 b","K2-253","Transit",1,1238,NA,1238,NA,0,6027,1.1,1.08,1238,0,1.72045121410772e-06
"K2-254 b","K2-254","Transit",1,791,NA,791,NA,-0.14,4629,0.67,0.71,791,0,0.000926595065630282
"K2-254 c","K2-254","Transit",1,551,NA,551,NA,-0.14,4629,0.67,0.71,551,0,0.0264430403148399
"K2-255 b","K2-255","Transit",1,1034,NA,1034,NA,-0.14,4676,0.69,0.71,1034,0,3.03590896992487e-05
"K2-257 b","K2-257","Transit",1,789,NA,789,NA,-0.03,3725,0.5,0.52,789,0,0.000953016989164037
"K2-258 b","K2-258","Transit",1,831,NA,831,NA,0.01,6351,1.31,1.21,831,0,0.000527983460182458
"K2-259 b","K2-259","Transit",1,795,NA,795,NA,0.16,6059,1.13,1.14,795,0,0.000875926604604839
"K2-26 b","K2-26","Transit",1,430,5.8,430,NA,-0.13,3785,0.52,0.56,430,0,0.129730885677953
"K2-260 b","K2-260","Transit",1,2090,NA,2090,0.053,0.334,6860,1.755,1.637,2090,0,1.06907754960281e-11
"K2-261 b","K2-261","Transit",1,1036,NA,1036,0.274,0.372,5490,1.663,1.107,1036,0,2.95166432260349e-05
"K2-263 b","K2-263","Transit",1,470,8.17,470,0.15,-0.08,5368,0.85,0.88,470,0,0.0782625740969464
"K2-264 b","K2-264","Transit",1,496,NA,496,NA,-0.013,3660,0.473,0.496,496,0,0.0556169538885609
"K2-264 c","K2-264","Transit",1,331,NA,331,NA,-0.013,3660,0.473,0.496,331,1,0.375126698117452
"K2-265 b","K2-265","Transit",1,1366,NA,1366,0.16,0.033,5420,0.92,0.901,1366,0,2.84070206128859e-07
"K2-266 b","K2-266","Transit",1,1515,879.5,1515,NA,-0.12,4285,0.703,0.686,1515,0,3.49040618408377e-08
"K2-266 c","K2-266","Transit",1,664.5,32.4,664.5,0.042,-0.12,4285,0.703,0.686,664.5,0,0.00546967228738841
"K2-266 d","K2-266","Transit",1,538.3,13.95,538.3,0.047,-0.12,4285,0.703,0.686,538.3,0,0.0314543516829972
"K2-266 e","K2-266","Transit",1,490.1,9.581,490.1,0.043,-0.12,4285,0.703,0.686,490.1,0,0.0601418336669481
"K2-268 b","K2-268","Transit",1,1136,NA,1136,NA,0.03,5106,0.78,0.84,1136,0,7.22718848153367e-06
"K2-268 c","K2-268","Transit",1,696,NA,696,NA,0.03,5106,0.78,0.84,696,0,0.00351814618579296
"K2-268 d","K2-268","Transit",1,888,NA,888,NA,0.03,5106,0.78,0.84,888,0,0.000236818527485941
"K2-268 e","K2-268","Transit",1,801,NA,801,NA,0.03,5106,0.78,0.84,801,0,0.000805067104111343
"K2-268 f","K2-268","Transit",1,492,NA,492,NA,0.03,5106,0.78,0.84,492,0,0.0586482734379497
"K2-269 b","K2-269","Transit",1,1429,NA,1429,NA,-0.08,6209,1.45,1.16,1429,0,1.17065299845652e-07
"K2-27 b","K2-27","Transit",1,902,116,902,0.251,0.13,5248,0.885,0.866,902,0,0.00019448183779758
"K2-270 b","K2-270","Transit",1,1203,NA,1203,NA,0.26,4877,0.77,0.85,1203,0,2.81533078594605e-06
"K2-270 c","K2-270","Transit",1,848,NA,848,NA,0.26,4877,0.77,0.85,848,0,0.000415700808849035
"K2-271 b","K2-271","Transit",1,893,NA,893,NA,-0.3,5644,0.99,0.83,893,0,0.000220733017643161
"K2-272 b","K2-272","Transit",1,747,NA,747,NA,-0.09,5397,0.83,0.86,747,0,0.00171961932664087
"K2-273 b","K2-273","Transit",1,849,NA,849,NA,0.2,5161,0.85,0.89,849,0,0.000409894715684375
"K2-274 b","K2-274","Transit",1,655,NA,655,NA,-0.16,5044,0.7,0.79,655,0,0.00624707736619736
"K2-275 b","K2-275","Transit",1,1166,NA,1166,NA,-0.06,4841,0.69,0.77,1166,0,4.73847160328307e-06
"K2-275 c","K2-275","Transit",1,653,NA,653,NA,-0.06,4841,0.69,0.77,653,0,0.00642423766685553
"K2-276 b","K2-276","Transit",1,583,NA,583,NA,0.07,5139,0.85,0.82,583,0,0.0170192612362354
"K2-277 b","K2-277","Transit",1,1049,NA,1049,0.52,0.078,5680,0.973,0.974,1049,0,2.45824499938305e-05
"K2-278 b","K2-278","Transit",1,1711,NA,1711,NA,0,6747,1.61,1.4,1711,0,2.21363362854867e-09
"K2-279 b","K2-279","Transit",1,879,NA,879,NA,-0.37,5558,0.86,0.79,879,0,0.000268782782071959
"K2-28 b","K2-28","Transit",1,568,NA,568,0,0.26,3214,0.288,0.257,568,0,0.0209350163556843
"K2-280 b","K2-280","Transit",1,787,NA,787,0.35,0.33,5500,1.28,1.03,787,0,0.000980191596523777
"K2-281 b","K2-281","Transit",1,665,NA,665,NA,0.22,4812,0.76,0.82,665,0,0.00543153302761244
"K2-283 b","K2-283","Transit",1,1186,NA,1186,NA,0.28,5060,0.82,0.89,1186,0,3.57616323497345e-06
"K2-284 b","K2-284","Transit",1,653,42.6,653,0.078,0,4140,0.607,0.63,653,0,0.00642423766685553
"K2-285 b","K2-285","Transit",1,1088.9,234.31,1088.9,0,0,4975,0.787,0.83,1088.9,0,1.40216122204729e-05
"K2-285 c","K2-285","Transit",1,741.4,50.35,741.4,0,0,4975,0.787,0.83,741.4,0,0.00186034331956307
"K2-285 d","K2-285","Transit",1,619.9,24.61,619.9,0,0,4975,0.787,0.83,619.9,0,0.0101963832764332
"K2-285 e","K2-285","Transit",1,500.9,10.5,500.9,0,0,4975,0.787,0.83,500.9,0,0.0521044988662169
"K2-286 b","K2-286","Transit",1,347,NA,347,NA,0,3926,0.62,0.64,347,1,0.324005309590768
"K2-287 b","K2-287","Transit",1,804,NA,804,0.478,0.2,5695,1.07,1.056,804,0,0.000771815179737166
"K2-288 B b","K2-288 B","Transit",1,226.36,NA,226.36,NA,-0.21,3341,0.32,0.33,226.36,1,0.723548477146469
"K2-289 b","K2-289","Transit",1,753,NA,753,NA,0.162,5529,1.025,0.953,753,0,0.00158061591235814
"K2-29 b","K2-29","Transit",1,1171,NA,1171,0.066,0.16,5358,0.86,0.94,1171,0,4.41654905835648e-06
"K2-290 b","K2-290","Transit",1,1230,NA,1230,0,-0.06,6302,1.511,1.194,1230,0,1.92544383257783e-06
"K2-290 c","K2-290","Transit",1,676,NA,676,0,-0.06,6302,1.511,1.194,676,0,0.00465627927718308
"K2-291 b","K2-291","Transit",1,NA,633,1396.93476951101,0,0.08,5520,0.899,0.934,1396.93476951101,0,1.83815066625963e-07
"K2-292 b","K2-292","Transit",1,795,67,795,0.04,0.07,5725,1.09,1,795,0,0.000875926604604839
"K2-293 b","K2-293","Transit",1,750,NA,750,NA,0.218,5532,0.947,0.958,750,0,0.00164865570824219
"K2-294 b","K2-294","Transit",1,1425,NA,1425,NA,0.194,5612,1.2,0.987,1425,0,1.23843286756241e-07
"K2-295 b","K2-295","Transit",1,852,NA,852,0,0.14,4444,0.7,0.74,852,0,0.000392958294179539
"K2-3 b","K2-3","Transit",1,501.3,10.5,501.3,0.107,-0.157,3844,0.546,0.549,501.3,0,0.0518272088727343
"K2-3 c","K2-3","Transit",1,371.8,3.17,371.8,0.048,-0.157,3844,0.546,0.549,371.8,0,0.252675642223091
"K2-3 d","K2-3","Transit",1,305.2,1.44,305.2,0.091,-0.157,3844,0.546,0.549,305.2,1,0.463254754569367
"K2-30 b","K2-30","Transit",1,1092,NA,1092,0,-0.15,5425,0.844,0.9,1092,0,1.34231328004626e-05
"K2-315 b","K2-315","Transit",1,460,7.45,460,NA,-0.24,3300,0.196,0.174,460,0,0.0890347312606539
"K2-316 b","K2-316","Transit",1,841,NA,841,NA,NA,3436,0.379,0.408,841,0,0.000458711565979262
"K2-316 c","K2-316","Transit",1,423,NA,423,NA,NA,3436,0.379,0.408,423,0,0.141262740584868
"K2-317 b","K2-317","Transit",1,432,NA,432,NA,NA,3387,0.379,0.403,432,0,0.12658654458474
"K2-318 b","K2-318","Transit",1,456,NA,456,NA,NA,3851,0.552,0.561,456,0,0.0937067095369219
"K2-319 b","K2-319","Transit",1,641,NA,641,NA,NA,5440,0.898,0.954,641,0,0.00759699001298335
"K2-32 b","K2-32","Transit",1,837,NA,837,0.03,-0.06,5271,0.86,0.83,837,0,0.000485257712824267
"K2-32 c","K2-32","Transit",1,634,NA,634,0.049,-0.06,5271,0.86,0.83,634,0,0.00837679088792199
"K2-32 d","K2-32","Transit",1,550,NA,550,0.05,-0.06,5271,0.86,0.83,550,0,0.0268077122155434
"K2-32 e","K2-32","Transit",1,1066,NA,1066,0.043,-0.06,5271,0.86,0.83,1066,0,1.93525946702259e-05
"K2-320 b","K2-320","Transit",1,698,NA,698,NA,NA,3157,0.3,0.117,698,0,0.00342085083953245
"K2-321 b","K2-321","Transit",1,830,NA,830,0.44,0.148,3750,0.595,0.578,830,0,0.000535461365509687
"K2-322 b","K2-322","Transit",1,635,NA,635,NA,NA,4141,0.602,0.63,635,0,0.00826071116173178
"K2-323 b","K2-323","Transit",1,318,NA,318,NA,NA,3710,0.549,0.478,318,1,0.418883445338283
"K2-324 b","K2-324","Transit",1,707,NA,707,NA,NA,3752,0.505,0.517,707,0,0.00301516608522594
"K2-325 b","K2-325","Transit",1,423,NA,423,NA,NA,3287,0.298,0.274,423,0,0.141262740584868
"K2-326 b","K2-326","Transit",1,1114,NA,1114,NA,NA,3924,0.688,0.507,1114,0,9.8494468404543e-06
"K2-329 b","K2-329","Transit",1,650,45.7,650,0.0697,0.098,5282,0.822,0.901,650,0,0.00669937881915448
"K2-330 b","K2-330","Transit",1,969,NA,969,NA,-0.03,6232,1.5,1.23,969,0,7.57685097839511e-05
"K2-331 b","K2-331","Transit",1,909,NA,909,NA,0.08,5994,1.06,1.1,909,0,0.000176242020943558
"K2-331 c","K2-331","Transit",1,673,NA,673,NA,0.08,5994,1.06,1.1,673,0,0.0048560713091354
"K2-332 b","K2-332","Transit",1,266,NA,266,NA,0.09,3315,0.28,0.27,266,1,0.599731655230525
"K2-333 b","K2-333","Transit",1,826,NA,826,NA,0.07,5880,1.22,1.06,826,0,0.000566446591255847
"K2-334 b","K2-334","Transit",1,1380,NA,1380,NA,0.17,6502,1.49,1.36,1380,0,2.33276339209158e-07
"K2-335 b","K2-335","Transit",1,949,NA,949,NA,0.1,6222,1.33,1.23,949,0,0.000100392091897806
"K2-336 b","K2-336","Transit",1,569,NA,569,NA,-0.17,5424,0.8,0.86,569,0,0.0206485371768805
"K2-337 b","K2-337","Transit",1,850,NA,850,NA,-0.27,5869,1.32,0.94,850,0,0.000404169683433244
"K2-338 b","K2-338","Transit",1,783,NA,783,NA,-0.23,4558,0.63,0.66,783,0,0.00103688506471391
"K2-339 b","K2-339","Transit",1,508,NA,508,NA,-0.11,4857,0.72,0.74,508,0,0.0473852781515513
"K2-34 b","K2-34","Transit",1,1687,NA,1687,NA,0.01,6168,1.42,1.16,1687,0,3.10292649018217e-09
"K2-340 b","K2-340","Transit",1,606,NA,606,NA,0.08,5532,1.13,0.93,606,0,0.0123718454872627
"K2-341 b","K2-341","Transit",1,598,NA,598,NA,-0.05,5817,1.16,0.98,598,0,0.0138255793876854
"K2-342 b","K2-342","Transit",1,861,NA,861,NA,-0.06,5920,1.09,1.01,861,0,0.000346231921922603
"K2-343 b","K2-343","Transit",1,653,NA,653,NA,-0.1,3804,0.46,0.49,653,0,0.00642423766685553
"K2-343 c","K2-343","Transit",1,465,NA,465,NA,-0.1,3804,0.46,0.49,465,0,0.0834908838355182
"K2-344 b","K2-344","Transit",1,722,NA,722,NA,-0.95,4374,0.49,0.51,722,0,0.00244283643844877
"K2-345 b","K2-345","Transit",1,437,NA,437,NA,0.26,3779,0.52,0.56,437,0,0.119009958315428
"K2-346 b","K2-346","Transit",1,450,NA,450,NA,-0.18,4801,0.7,0.71,450,0,0.10112691018396
"K2-347 b","K2-347","Transit",1,640,NA,640,NA,-0.26,4599,0.63,0.66,640,0,0.00770381556157475
"K2-348 b","K2-348","Transit",1,908,NA,908,NA,0.13,5077,0.85,0.83,908,0,0.000178739052821397
"K2-348 c","K2-348","Transit",1,655,NA,655,NA,0.13,5077,0.85,0.83,655,0,0.00624707736619736
"K2-349 b","K2-349","Transit",1,518,NA,518,NA,-0.66,4385,0.49,0.54,518,0,0.0414230799457706
"K2-35 b","K2-35","Transit",1,NA,211,1061.44088840195,0.13,NA,4402.71,0.619575,0.701968,1061.44088840195,0,2.06347734923116e-05
"K2-35 c","K2-35","Transit",1,NA,68,799.746646520713,0.12,NA,4402.71,0.619575,0.701968,799.746646520713,0,0.000819379689325499
"K2-350 b","K2-350","Transit",1,1158,NA,1158,NA,-0.02,5789,1.04,0.98,1158,0,5.30306094628667e-06
"K2-350 c","K2-350","Transit",1,687,NA,687,NA,-0.02,5789,1.04,0.98,687,0,0.00399123501430946
"K2-351 b","K2-351","Transit",1,934,NA,934,NA,0.08,5769,1.05,1.02,934,0,0.000123981060799326
"K2-352 b","K2-352","Transit",1,1160,NA,1160,NA,-0.05,5791,0.95,0.98,1160,0,5.15590061072913e-06
"K2-352 c","K2-352","Transit",1,885,NA,885,NA,-0.05,5791,0.95,0.98,885,0,0.000247027020265475
"K2-352 d","K2-352","Transit",1,727,NA,727,NA,-0.05,5791,0.95,0.98,727,0,0.0022772520868555
"K2-353 b","K2-353","Transit",1,735,NA,735,NA,-0.21,5698,0.99,0.87,735,0,0.00203529719590647
"K2-354 b","K2-354","Transit",1,543,NA,543,NA,-0.04,3669,0.41,0.43,543,0,0.0295007994067919
"K2-355 b","K2-355","Transit",1,1066,NA,1066,NA,-0.12,5790,0.92,0.96,1066,0,1.93525946702259e-05
"K2-356 b","K2-356","Transit",1,624,NA,624,NA,-0.11,5568,0.86,0.9,624,0,0.00963028344577382
"K2-357 b","K2-357","Transit",1,735,NA,735,NA,-0.02,5794,1,0.98,735,0,0.00203529719590647
"K2-358 b","K2-358","Transit",1,888,NA,888,NA,-0.07,5650,0.91,0.93,888,0,0.000236818527485941
"K2-36 b","K2-36","Transit",1,1328,519,1328,0.093,NA,4916,0.718,0.79,1328,0,4.84893497254816e-07
"K2-36 c","K2-36","Transit",1,854,89,854,0.089,NA,4916,0.718,0.79,854,0,0.000382057782292156
"K2-360 c","EPIC 201595106","Radial Velocity",1,912,115,912,0.11,0.01,5679,0.98,0.958,912,0,0.000168958252888153
"K2-37 b","K2-37","Transit",1,974,213.3,974,NA,-0.03,5413,0.85,0.9,974,0,7.0621285385259e-05
"K2-37 c","K2-37","Transit",1,861,130.3,861,NA,-0.03,5413,0.85,0.9,861,0,0.000346231921922603
"K2-37 d","K2-37","Transit",1,663,45.7,663,NA,-0.03,5413,0.85,0.9,663,0,0.00558569537808942
"K2-38 b","K2-38","Transit",1,1310,490,1310,0.11,0.235,5705,1.141,1.054,1310,0,6.24662747443579e-07
"K2-38 c","K2-38","Transit",1,949,135.3,949,0.086,0.235,5705,1.141,1.054,949,0,0.000100392091897806
"K2-4 b","K2-4","Transit",1,NA,15.6,553.485628992192,0.08,NA,4014.73,0.569359,0.635026,553.485628992192,0,0.0255573858762135
"K2-411 b","K2-411","Transit",1,NA,619.038,1389.16722017328,NA,0.1415,5711,1.375,1.018,1389.16722017328,0,2.05044986576893e-07
"K2-412 b","K2-412","Transit",1,NA,243.518,1100.16536005128,NA,0.014,5590,0.977,0.893,1100.16536005128,0,1.19661766860764e-05
"K2-413 b","K2-413","Transit",1,NA,921.755,1534.54304440058,NA,-0.205,4116,0.7,0.808,1534.54304440058,0,2.65122757972945e-08
