"pl_name","hostname","discoverymethod","default_flag","pl_eqt","pl_insol","pl_eqt_est","pl_orbeccen","st_met","st_teff","st_rad","st_mass","T_used","can_hold_water_temp","WRI_temp_prob"
"WASP-65 b","WASP-65","Transit",1,1480,NA,1480,0,-0.07,5600,1.01,0.93,1480,0,5.71167519641284e-08
"WASP-69 b","WASP-69","Transit",1,971,NA,971,0,0.35,4792,0.801,0.83,971,0,7.36660720528172e-05
"WASP-7 b","WASP-7","Transit",1,1487,NA,1487,NA,0,6400,1.432,1.276,1487,0,5.17590142229926e-08
"WASP-70 A b","WASP-70 A","Transit",1,1387,NA,1387,0,-0.006,5763,1.215,1.106,1387,0,2.11394260761097e-07
"WASP-75 b","WASP-75","Transit",1,1710,NA,1710,0,0.07,6100,1.26,1.14,1710,0,2.24500243522443e-09
"WASP-76 b","WASP-76","Transit",1,2228,4104,2228,0,0.366,6329,1.756,1.458,2228,0,1.53349083079079e-12
"WASP-79 b","WASP-79","Transit",1,1716.2,NA,1716.2,0,0.03,6600,1.51,1.39,1716.2,0,2.05744467629473e-09
"WASP-80 b","WASP-80","Transit",1,825,NA,825,0.002,-0.13,4143,0.586,0.577,825,0,0.000574468942302106
"WASP-81 b","WASP-81","Transit",1,1623,NA,1623,0.066,-0.36,5870,1.283,1.08,1623,0,7.63624994190049e-09
"WASP-83 b","WASP-83","Transit",1,1120,NA,1120,0,0.29,5510,1.05,1.11,1120,0,9.05202513008879e-06
"WASP-84 b","WASP-84","Transit",1,732,NA,732,NA,NA,NA,0.768,0.853,732,0,0.0021228677605128
"WASP-84 c","WASP-84","Transit",1,1329,NA,1329,NA,NA,NA,0.768,0.853,1329,0,4.78118215902644e-07
"WASP-89 b","WASP-89","Transit",1,1120,NA,1120,0.193,0.15,5130,0.88,0.92,1120,0,9.05202513008879e-06
"WASP-90 b","WASP-90","Transit",1,1840,NA,1840,0,0.11,6430,1.98,1.55,1840,0,3.60393850978444e-10
"WASP-91 b","WASP-91","Transit",1,1160,NA,1160,0,0.19,4920,0.86,0.84,1160,0,5.15590061072913e-06
"WASP-92 b","WASP-92","Transit",1,1871,NA,1871,0,0,6280,1.341,1.19,1871,0,2.32988304151078e-10
"WASP-93 b","WASP-93","Transit",1,1942,NA,1942,0,0.07,6700,1.524,1.334,1942,0,8.57922310762877e-11
"WASP-96 b","WASP-96","Transit",1,1285,NA,1285,0,0.14,5540,1.05,1.06,1285,0,8.8801910414015e-07
"WASP-98 b","WASP-98","Transit",1,1171,NA,1171,NA,-0.49,5473,0.741,0.809,1171,0,4.41654905835648e-06
"WD 0806-661 b","WD 0806-661","Imaging",1,340,NA,340,NA,NA,NA,NA,0.62,340,1,0.345941646306859
"WD 1856+534 b","WD 1856+534","Transit",1,163,0.181,163,0,NA,4710,0.0131,0.518,163,0,0.864559465352282
"WISE J033605.05-014350.4 b","WISE J033605.05-014350.4","Imaging",1,325,NA,325,NA,NA,415,NA,0.0131,325,1,0.395115956630972
"WISEP J121756.91+162640.2 A b","WISEP J121756.91+162640.2 A","Imaging",1,450,NA,450,NA,NA,575,0.091,0.029,450,0,0.10112691018396
"WTS-1 b","WTS-1","Transit",1,1500,NA,1500,0.1,-0.5,6250,1.15,1.2,1500,0,4.31064298840213e-08
"WTS-2 b","WTS-2","Transit",1,2000,NA,2000,0,0.2,5000,0.752,0.82,2000,0,3.79320005550161e-11
"Wendelstein-1 b","Wendelstein-1","Transit",1,2198,NA,2198,0.012,NA,4251,0.61,0.65,2198,0,2.3389092051031e-12
"Wendelstein-2 b","Wendelstein-2","Transit",1,2470,NA,2470,0.057,NA,4591,0.66,0.73,2470,0,5.09098247106797e-14
"Wolf 1061 b","Wolf 1061","Radial Velocity",1,NA,7.34,458.404861185149,0.15,-0.09,3342,0.307,0.294,458.404861185149,0,0.0908721120534357
"Wolf 1061 c","Wolf 1061","Radial Velocity",1,NA,1.3,297.379507305725,0.11,-0.09,3342,0.307,0.294,297.379507305725,1,0.490700515887476
"Wolf 1061 d","Wolf 1061","Radial Velocity",1,NA,0.06,137.836111306937,0.55,-0.09,3342,0.307,0.294,137.836111306937,0,0.900945551809255
"Wolf 1069 b","Wolf 1069","Radial Velocity",1,250.1,0.652,250.1,NA,0.07,3158,0.1813,0.167,250.1,1,0.652054035099436
"Wolf 327 b","Wolf 327","Transit",1,996,233.9,996,0,-0.17,3542,0.406,0.405,996,0,5.18203313035333e-05
"Wolf 503 b","Wolf 503","Transit",1,789,64.7,789,0.409,-0.47,4716,0.689,0.688,789,0,0.000953016989164037
"XO-5 b","XO-5","Transit",1,1230,NA,1230,0,0.05,5430,1.13,1.04,1230,0,1.92544383257783e-06
"XO-6 b","XO-6","Transit",1,1577,NA,1577,0,-0.07,6720,1.93,1.47,1577,0,1.45877890280155e-08
"XO-7 b","XO-7","Transit",1,1743,1540,1743,0.038,0.432,6250,1.48,1.405,1743,0,1.41107929447099e-09
"YZ Cet b","YZ Cet","Radial Velocity",1,471.2,8.21,471.2,0.06,-0.18,3151,0.157,0.142,471.2,0,0.0770531357788137
"YZ Cet c","YZ Cet","Radial Velocity",1,410.3,4.72,410.3,0,-0.18,3151,0.157,0.142,410.3,0,0.164360326158825
"YZ Cet d","YZ Cet","Radial Velocity",1,356.7,2.7,356.7,0.07,-0.18,3151,0.157,0.142,356.7,0,0.294855656715384
"eps Ind A b","eps Ind A","Radial Velocity",1,275,NA,275,0.4,0.22,4760,0.679,0.76,275,1,0.568983667655786
"kap And b","kap And","Imaging",1,1900,NA,1900,NA,-0.36,10900,NA,2.6,1900,0,1.54921970907043e-10
"Earth","Sun","Known Planet",1,255,1,255,0.0167,0,5778,1,1,255,1,0.636251456450975
