pl_name,hostname,discoverymethod,default_flag,pl_eqt,pl_insol,pl_eqt_est,pl_orbeccen,st_met,st_teff,st_rad,st_mass
TOI-1518 b,TOI-1518,Transit,1,2492.0,,2492.0,0.01,-0.1,7300.0,1.95,1.79
TOI-157 b,TOI-157,Transit,1,1588.0,1062.0,1588.0,0.0,0.24,5404.0,1.167,0.948
TOI-1601 b,TOI-1601,Transit,1,1493.97,,1493.97,0.0,0.343,5982.0,2.195,1.5055
TOI-163 b,TOI-163,Transit,1,1669.0,,1669.0,0.0,0.22,6495.0,1.648,1.4352
TOI-1630.01,TOI-1630,Transit,1,,55.58,760.4222837204984,,,5504.0,0.83,0.95
TOI-1659.01,TOI-1659,Transit,1,,268.44,1127.2935108733307,,,5977.0,1.006,1.1
TOI-1669 c,TOI-1669,Transit,1,1285.16,,1285.16,0.0,0.274,5497.0,1.0561,0.9867
TOI-1670 b,TOI-1670,Transit,1,1062.0,,1062.0,0.59,0.09,6170.0,1.316,1.21
TOI-1670 c,TOI-1670,Transit,1,684.0,,684.0,0.09,0.09,6170.0,1.316,1.21
TOI-1680 b,TOI-1680,Transit,1,404.0,4.41,404.0,,0.04,3225.0,0.2106,0.1798
TOI-1683.01,TOI-1683,Transit,1,929.25,163.056,929.25,,,4402.0,0.7,0.694661
TOI-1685 b,TOI-1685,Transit,1,1062.0,236.0,1062.0,0.0,0.3,3575.0,0.4555,0.454
TOI-169 b,TOI-169,Transit,1,1715.0,1443.0,1715.0,0.0,0.24,5880.0,1.288,1.147
TOI-1691 b,TOI-1691,Transit,1,,59.13,772.2842346220264,,,5759.0,1.0,1.03
TOI-1693 b,TOI-1693,Transit,1,764.0,,764.0,,,3499.0,0.46,0.49
TOI-1694 b,TOI-1694,Transit,1,943.19,,943.19,0.0,0.131,5058.0,0.8036,0.853
TOI-1695 b,TOI-1695,Transit,1,698.0,39.0,698.0,0.097,0.0,3690.0,0.515,0.513
TOI-1696 b,TOI-1696,Transit,1,489.0,,489.0,,0.336,3185.0,0.2775,0.255
TOI-1710 b,TOI-1710,Transit,1,602.99,,602.99,0.0,0.147,5684.0,0.9574,1.0258
TOI-1716.01,TOI-1716,Transit,1,,254.83,1112.72498066954,,,5879.0,1.24,1.07
TOI-172 b,TOI-172,Transit,1,1198.0,299.0,1198.0,0.3806,0.148,5645.0,1.777,1.128
TOI-1723 b,TOI-1723,Transit,1,,92.36,863.3684626181264,,,5777.0,1.09,1.04
TOI-1728 b,TOI-1728,Transit,1,767.0,57.78,767.0,0.057,0.25,3980.0,0.6243,0.646
TOI-1736 b,TOI-1736,Transit,1,1099.79,,1099.79,0.0,0.148,5636.0,1.4286,1.0373
TOI-1739 b,TOI-1739,Transit,1,,53.91,754.6447107731268,,,4814.0,0.781,0.78
TOI-1742 b,TOI-1742,Transit,1,694.09,,694.09,0.3,0.193,5815.0,1.131,1.0861
TOI-1744.01,TOI-1744,Transit,1,,63.31,785.5851726988874,,,6179.0,1.14,1.18
TOI-1749 b,TOI-1749,Transit,1,831.0,,831.0,0.14,-0.26,3985.0,0.55,0.58
TOI-1749 c,TOI-1749,Transit,1,673.0,,673.0,0.019,-0.26,3985.0,0.55,0.58
