"pl_name","pl_eqt","v_esc_kms","density_gcc","WRS"
"TOI-2529 b",636,89.89,2.66,0.1797
"LP 714-47 b",700,28.67,1.64,0.1796
"TOI-125 b",1037,20.91,2.59,0.1795
"HATS-72 b",739.3,24.85,0.41,0.1771
"TOI-4010 c",907,20.73,0.54,0.1768
"WASP-193 b",1254,18.38,0.06,0.1766
"HD 6061 b",1075.31,22.73,3.85,0.176
"HD 25463 b",1198.46,20.71,2.91,0.1757
"HD 21749 c",701,22.81,28.75,0.1756
"TOI-5800 b",1108,22.01,3.52,0.1752
"TOI-1836 c",2007.6,19.65,2.51,0.1742
"K2-417 b",558,162.78,106.32,0.1739
"K2-285 b",1088.9,21.65,3.07,0.1735
"K2-329 b",650,34.57,0.7,0.1731
"K2-141 b",2103,20.32,7.96,0.1727
"HD 80653 b",2463,21.09,7.52,0.17
"TOI-669 b",1124.85,22.02,3.19,0.1688
"TOI-1728 b",767,25.79,1.15,0.1676
"TOI-1117 b",1538,21.3,3.3,0.1665
"HD 106315 b",1153,25.45,4.78,0.1665
"TOI-1347 c",1000,22.4,8.62,0.1648
"EPIC 249893012 b",1616,23.72,6.51,0.1634
"K2-182 b",965.8,31.15,5.8,0.1632
"HD 25463 c",1585.57,19.89,9.35,0.1627
"TOI-1753 b",1005.43,28.99,6.01,0.1625
"K2-280 b",787,24.91,0.48,0.1623
"HD 77946 b",1128.86,21.73,2.47,0.1619
"TOI-1130 b",825,26.05,2.23,0.1616
"KOI-94 c",1012,21.28,1.07,0.1611
"Kepler-107 e",955,24.68,3.18,0.1607
"TOI-1669 c",1285.16,26.65,5.92,0.1602
"TOI-5398 c",1242,20.51,1.49,0.1595
"NGTS-20 b",688,99.53,3.03,0.1593
"K2-290 b",1230,21.14,2.1,0.159
"WASP-59 b",670,62.93,2.31,0.1588
"HD 137496 b",2130,19.67,9.91,0.1586
"Kepler-101 c",1413,19.48,10.67,0.1585
"TOI-1238 b",1133,19.74,11.7,0.1574
