pl_name,hostname,discoverymethod,default_flag,pl_bmasse,pl_rade,pl_eqt,pl_orbeccen,st_met,st_teff,st_rad,st_mass,pl_insol
K2-416 b,K2-416,Transit,1,1652.7077164,2.66,447.0,,,3746.0,0.554,0.548,
K2-417 b,K2-417,Transit,1,699.2224954,3.31,558.0,,,3861.0,0.5776,0.569,
K2-419 A b,K2-419 A,Transit,1,196.0,10.55,377.0,0.042,-0.11,3711.0,0.541,0.562,3.3
K2-60 b,K2-60,Transit,1,135.39558,7.655747,1400.0,0.0,0.01,5500.0,1.12,0.97,
K2-66 b,K2-66,Transit,1,21.3,2.49,1372.0,0.0,-0.047,5887.0,1.67,1.11,840.0
K2-79 b,K2-79,Transit,1,9.2,4.09,1022.0,0.23,0.035,5897.0,1.265,1.066,181.0
K2-97 b,K2-97,Transit,1,174.48779544,13.45077684,1566.0,0.207,0.328,4673.0,4.14,1.17,
K2-98 b,K2-98,Transit,1,34.00763955,5.06645928,1185.0,0.119,-0.044,6260.0,1.518,1.246,
K2-99 b,K2-99,Transit,1,276.51071409,11.88151954,1184.0,0.22,0.2,6069.0,2.55,1.44,
KELT-10 b,KELT-10,Transit,1,215.80657,15.681391,1377.0,,0.09,5948.0,1.209,1.112,600.0
KELT-11 b,KELT-11,Transit,1,65.15482343,15.13212395,1712.0,0.0,0.17,5375.0,2.69,1.44,
KELT-12 b,KELT-12,Transit,1,301.9385,19.95202,1800.0,0.0,0.19,6279.0,2.37,1.591,1749.0
KELT-14 b,KELT-14,Transit,1,408.09372,19.537287,1970.0,0.0,0.32,5720.0,1.52,1.239,
KELT-16 b,KELT-16,Transit,1,874.0325,15.860735,2453.0,0.0,-0.002,6236.0,1.36,1.211,
KELT-17 b,KELT-17,Transit,1,416.3573,17.093725,2087.0,,-0.018,7454.0,1.645,1.635,
KELT-18 b,KELT-18,Transit,1,375.0394,17.59813,2085.0,0.0,0.09,6670.0,1.908,1.524,3152.0
KELT-19 A b,KELT-19 A,Transit,1,1293.5681,21.40919,1935.0,,-0.12,7500.0,1.83,1.62,2340.0
KELT-20 b,KELT-20,Transit,1,1074.90106,19.514869,2262.0,,-0.29,8720.0,1.565,1.76,4362.5
KELT-21 b,KELT-21,Transit,1,1242.7153,17.777474,2051.0,0.0,-0.405,7598.0,1.638,1.458,2950.0
KELT-23 A b,KELT-23 A,Transit,1,298.12454,14.829507,1561.0,0.0,-0.105,5899.0,0.996,0.944,991.183
KELT-24 b,KELT-24,Transit,1,1458.83238813,12.71098411,1391.0,0.0319,0.138,6426.0,1.338,1.268,624.0
KELT-4 A b,KELT-4 A,Transit,1,286.68266,19.044091,1823.0,0.0,-0.116,6206.0,1.603,1.201,1840.0
KELT-9 b,KELT-9,Transit,1,915.3504,21.196219,4050.0,0.0,-0.03,10170.0,2.362,2.52,44900.0
KOI-1257 b,KOI-1257,Transit,1,460.83,10.54,511.0,0.772,0.27,5520.0,1.13,0.99,
KOI-13 b,KOI-13,Transit,1,2949.4624,16.948008,2550.0,0.00064,0.2,7650.0,1.74,1.72,
KOI-134 b,KOI-134,Transit,1,346.43296363,12.03844527,659.0,0.16,0.427,6160.0,1.667,1.407,45.0
KOI-1831 d,Kepler-324,Transit,1,2.23,1.13,475.0,,,5233.0,0.835,0.901,
KOI-1833 d,Kepler-968,Transit,1,11.02,2.58,613.0,,,4413.0,0.667,0.681,
KOI-3503 b,KOI-3503,Transit,1,9.2,1.19,785.0,,,6001.0,1.255,0.858,
KOI-3503 c,KOI-3503,Transit,1,10.36,1.21,686.0,,,6001.0,1.255,0.858,
KOI-3680 b,KOI-3680,Transit,1,613.4119,11.09691,347.0,0.496,0.16,5830.0,0.96,1.01,
KOI-4777.01,KOI-4777,Transit,1,99.2,0.51,1180.0,0.0,0.1,3515.0,0.4,0.41,320.0
